IDa	Descriptionf
C11-1_A	Whole_cell_size
C12-1_A	Whole_cell_outline_length
C13_A	Whole_cell_fitness_for_ellipse
C103_A	Long_axis_length_in_whole_cell
C104_A	Short_axis_length_in_whole_cell
C115_A	Whole_cell_axis_ratio
C126_A	Brightness_difference_of_cell_wall
C127_A	Thickness_difference_of_cell_wall
A7-1_A	Size_of_actin_region
A8-1_A	Actin_region_brightness
A101_A	Actin_region_ratio_in_whole_cell
A120_A	Total_length_of_actin_patch_link
A121_A	Maximal_distance_between_patches
A122_A	Number_of_bright_actin_patches
A123_A	Ratio_of_actin_patches_to_actin_region
D14-1_A	Nuclear_size
D15-1_A	Nuclear_brightness
D16-1_A	Maximal_intensity_of_nuclear_brightness
D17-1_A	Nuclear_fitness_for_ellipse
D102_A	Distance_between_nuclear_gravity_center_and_mother_tip
D105_A	Ratio_of_D102_to_C103
D117_A	Distance_between_nuclear_gravity_center_and_cell_center
D127_A	Distance_between_nuclear_brightest_point_and_cell_tip
D135_A	Distance_between_nuclear_brightest_point_and_cell_center
D147_A	Relative_distance_of_nuclear_gravity_center_to_cell_center
D148_A	Relative_distance_of_nuclear_brightest_point_to_cell_center
D154_A	Angle_between_C1D1-1_and_C1C1-2
D155_A	Angle_between_C1D2-1_and_C1C1-2
D173_A	Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline
D176_A	Nuclear_long_axis_length
D179_A	Nuclear_minimum_radius
D182_A	Nuclear_axis_ratio
D188_A	Distance_between_nuclear_gravity_center_and_brightest_point
D191_A	Average_of_nuclear_brightness
D194_A	Maximal_intensity_of_nuclear_brightness_divided_by_average
CCV11-1_A	Noise_of_whole_cell_size
CCV12-1_A	Noise_of_whole_cell_outline_length
CCV13_A	Noise_of_whole_cell_fitness_for_ellipse
CCV103_A	Noise_of_long_axis_length_in_whole_cell
CCV104_A	Noise_of_short_axis_length_in_whole_cell
CCV115_A	Noise_of_whole_cell_axis_ratio
CCV126_A	Noise_of_brightness_difference_of_cell_wall
CCV127_A	Noise_of_thickness_difference_of_cell_wall
ACV7-1_A	Noise_of_size_of_actin_region
ACV8-1_A	Noise_of_actin_region_brightness
ACV101_A	Noise_of_actin_region_ratio_in_whole_cell
ACV120_A	Noise_of_total_length_of_actin_patch_link
ACV121_A	Noise_of_maximal_distance_between_patches
ACV122_A	Noise_of_number_of_bright_actin_patches
ACV123_A	Noise_of_ratio_of_actin_patches_to_actin_region
DCV14-1_A	Noise_of_nuclear_size
DCV15-1_A	Noise_of_nuclear_brightness
DCV16-1_A	Noise_of_maximal_intensity_of_nuclear_brightness
