Protein	Gene	Description	Group	Peptides	Collapsed	ChrI-TEF1-SRPrec-32	ChrI-ADH1-SRP-3	ChrI-CYC1-SRP-6	ChrI-TEF1-SRP-15	ChrI-SRPrec-2cAlpha	HO-SRPrec-1aAlpha	ChrI-ADH1-SRP-1aAlpha	ChrI-TEF1-SRP-1aAlpha	WT MATa	Bridge
sp|Q3E792|RS25A_YEAST	RPS25A	40S ribosomal protein S25-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS25A PE=1 SV=1	0	4	C	639.558402	733.2467279	734.7338346	628.9001199	585.5366733	606.7692152	750.4933578	679.840336	935.0054749	695.793087
sp|P09938|RIR2_YEAST	RNR2	Ribonucleoside-diphosphate reductase small chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR2 PE=1 SV=2	1	12	C	1919.326947	1756.223823	1856.962834	1729.391147	1912.119905	1796.361445	1851.809008	1875.048371	1765.252924	1818.562719
sp|P00360|G3P1_YEAST	TDH1	Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3	2	13	C	2004.498905	2545.289246	3637.82613	849.1392242	1145.562602	1030.309583	781.243372	1490.785932	1810.385769	1958.17283
sp|P00359|G3P3_YEAST	TDH3	Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3	2	66	C	5149.488757	5501.327643	5816.981038	5582.322781	5770.74257	6760.736678	6460.794728	6343.381659	5263.529548	5566.930632
sp|P00358|G3P2_YEAST	TDH2	Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH2 PE=1 SV=3	2	9	C	345.7814365	400.6243557	425.6289999	386.5596452	441.8765229	465.2915025	490.9912131	494.4366526	339.7844668	413.5616493
sp|P15180|SYKC_YEAST	KRS1	"Lysine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRS1 PE=1 SV=2"	3	30	C	3257.802311	3461.662058	3510.31637	3334.248754	3332.892359	3527.94304	3490.533439	3149.255698	4457.082944	3643.695884
sp|P15705|STI1_YEAST	STI1	Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STI1 PE=1 SV=1	4	38	C	4173.047132	3557.566823	3112.014751	3411.835126	3797.041287	3283.888476	3437.191478	3240.34173	4497.740545	3564.831579
sp|P38260|FES1_YEAST	FES1	Hsp70 nucleotide exchange factor FES1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FES1 PE=1 SV=1	5	4	C	350.8338214	336.0201987	312.9528453	329.1128614	361.1395438	343.3363015	343.8549202	359.524328	379.57387	356.1399398
sp|Q04697|GSF2_YEAST	GSF2	Glucose-signaling factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSF2 PE=1 SV=1	6	13	C	1537.596148	1562.575991	1514.705062	1501.826675	1627.657655	1567.412913	1511.616037	1671.083896	1644.868834	1563.064366
sp|P25694|CDC48_YEAST	CDC48	Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3	7	30	C	3132.824022	2950.493193	3029.590264	3146.483069	3123.105982	2976.094081	2819.700405	3100.805426	2927.287576	2884.074667
sp|P27692|SPT5_YEAST	SPT5	Transcription elongation factor SPT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT5 PE=1 SV=1	8	12	C	928.237305	941.9393359	943.7043271	972.85794	954.8004895	895.8226579	830.388109	986.1558611	1023.719748	978.8351641
sp|P35197|GCS1_YEAST	GCS1	ADP-ribosylation factor GTPase-activating protein GCS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCS1 PE=1 SV=1	9	8	C	679.4338069	701.5542179	732.7452788	725.09297	683.7022701	651.6991032	683.5028486	732.6358759	870.8826731	708.8922604
sp|P38431|IF5_YEAST	TIF5	Eukaryotic translation initiation factor 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF5 PE=1 SV=1	10	16	C	1951.880572	2033.251733	2011.063398	2075.43257	1914.687838	1895.369277	1961.442806	1983.9864	2342.455104	2023.441149
